"propertyURL","id","address","price","property","area","type","bedrooms","bathrooms","tenure","Nearest Station Name","Nearest Station Distance"
"https://rightmove.co.uk/properties/124821482#/?channel=RES_BUY","124821482","West Ham Close, Basingstoke, Hampshire","£270,000","","93.4","End of Terrace","×3","×1","Ask agent","Basingstoke Station","1.5 miles"
"https://rightmove.co.uk/properties/124326785#/?channel=RES_BUY","124326785","Wicklow Close, Basingstoke, Hampshire, RG22","£275,000","","","End of Terrace","×3","×2","Freehold","Basingstoke Station","2.1 miles"
"https://rightmove.co.uk/properties/125348795#/?channel=RES_BUY","125348795","Brighton Hill","£275,000","","86.9","Terraced","×3","×1","Freehold","Basingstoke Station","2.2 miles"
"https://rightmove.co.uk/properties/124784414#/?channel=RES_BUY","124784414","Sycamore Way, Basingstoke, Hampshire, RG23","£280,000","","","Terraced","×3","×1","Freehold","Basingstoke Station","1.3 miles"
"https://rightmove.co.uk/properties/125233640#/?channel=RES_BUY","125233640","Colyer Close, South Ham, Basingstoke, Hampshire, RG22","£280,000","","","End of Terrace","×3","×1","Freehold","Basingstoke Station","1.9 miles"
"https://rightmove.co.uk/properties/119717447#/?channel=RES_BUY","119717447","Bennet Close, Oakridge, Basingstoke, RG21","£280,000","","53.6","Terraced","×3","×1","Freehold","Basingstoke Station","0.6 miles"
"https://rightmove.co.uk/properties/124431986#/?channel=RES_BUY","124431986","Ivy Crescent, Bognor Regis, West Sussex, PO22","£280,000","","66.8","Terraced","×3","×1","733 sq. ft.","Freehold","Bognor Regis Station","0.6 miles"
"https://rightmove.co.uk/properties/120289400#/?channel=RES_BUY","120289400","Coleridge Close, Goring-By-Sea, Worthing","£280,000","","","End of Terrace","×3","×1","Freehold","Goring-by-Sea Station","0.1 miles"
"https://rightmove.co.uk/properties/125385878#/?channel=RES_BUY","125385878","Sorrel Close, Waterlooville, PO7","£280,000","","86.2","Terraced","×3","×1","Freehold","Bedhampton Station","1.6 miles"
"https://rightmove.co.uk/properties/124050506#/?channel=RES_BUY","124050506","Stanley Road, Littlehampton, West Sussex","£280,000","","55.7","End of Terrace","×3","×1","Freehold","Littlehampton Station","0.6 miles"
"https://rightmove.co.uk/properties/124449434#/?channel=RES_BUY","124449434","Woodhay Walk, Havant","£280,000","","","Terraced","×3","×1","Freehold","Warblington Station","1.3 miles"
"https://rightmove.co.uk/properties/125027501#/?channel=RES_BUY","125027501","Bagshot, Surrey, GU19","£280,000","","","Semi-Detached","×3","×1","1,240 sq. ft.","Freehold","Bagshot Station","0.2 miles"
"https://rightmove.co.uk/properties/119151656#/?channel=RES_BUY","119151656","Ramshill, Petersfield","£280,000","","","Cottage","×3","×1","Freehold","Petersfield Station","0.5 miles"
"https://rightmove.co.uk/properties/125253845#/?channel=RES_BUY","125253845","Westloats Lane, Bognor Regis, PO21","£280,000","","","Semi-Detached","×3","×1","Freehold","Bognor Regis Station","0.7 miles"
"https://rightmove.co.uk/properties/85742493#/?channel=RES_BUY","85742493","Blackdown Close, Basingstoke","£280,000","","","End of Terrace","×3","×1","Freehold","Basingstoke Station","2.2 miles"
"https://rightmove.co.uk/properties/124549379#/?channel=RES_BUY","124549379","Prospect Lane, Havant, Hampshire","£285,000","","","Semi-Detached","×3","×1","Freehold","Warblington Station","1.2 miles"
